,일자,호수위(EL.m)_x,해수위(EL.m)_x,우량(mm)_x,평균기온(°C)_x,최저기온(°C)_x,최고기온(°C)_x,평균 풍속(m/s)_x,개문시작시각,폐문종료시각,방류량(천톤),호수위(EL.m)_y,해수위(EL.m)_y,우량(mm)_y,평균기온(°C)_y,최저기온(°C)_y,최고기온(°C)_y,평균 풍속(m/s)_y,전기전도도,수온,수소이온농도,용존산소량,탁도,일사량,기온,상대습도,풍속,풍향,강수량,염분,클로로필,화학적산소요구량,총질소,총인,암모니아질소,질산질소,인산성인,규산규소,남조류
0,2021-09-24,-2.99,-3.53,0.0,18.7,12.4,27.4,0.5,10:36,14:16,634.439,-2.99,-3.53,0.0,18.7,12.4,27.4,0.5,44.01,23.82,8.32,7.08,7,0.0,21.44,0,0,0,0.0,31.9,0.18,3.32,0.0,0.034,0.054,0.005,0.015,0,0
1,2021-09-13,-0.98,-0.08,0.0,22.2,17.0,30.4,0.7,12:48,16:15,661.807,-0.98,-0.08,0.0,22.2,17.0,30.4,0.7,44.14,24.8,8.08,6.99,6,0.0,24.15,0,0,0,0.0,31.31,2.72,3.19,0.359,0.069,0.095,0.242,0.046,0,0
2,2021-09-10,-3.11,-3.75,0.0,21.5,16.8,28.2,0.5,10:51,14:51,507.299,-3.11,-3.75,0.0,21.5,16.8,28.2,0.5,43.09,24.31,7.99,7.35,11,2.87,23.1,0,0,0,0.0,30.82,0.88,2.93,0.468,0.092,0.214,0.232,0.055,0,0
3,2021-09-09,-3.77,-4.27,0.0,21.2,15.8,28.5,0.5,10:28,14:25,548.312,-3.77,-4.27,0.0,21.2,15.8,28.5,0.5,43.08,24.18,7.99,6.27,10,0.0,22.92,0,0,0,0.0,30.9,0.39,2.96,0.438,0.091,0.233,0.238,0.056,0,0
4,2021-08-24,-3.69,-4.04,8.5,23.8,20.8,28.1,1.6,10:29,14:20,507.299,-3.69,-4.04,8.5,23.8,20.8,28.1,1.6,44.96,25.8,7.93,6.16,35,0.0,23.25,0,0,0,0.0,31.27,0.96,2.31,0.409,0.067,0.215,0.091,0.046,0,0
5,2021-07-08,-2.58,-0.35,1.0,24.3,21.4,29.8,0.8,21:47,23:17,507.299,-2.58,-0.35,1.0,24.3,21.4,29.8,0.8,43.56,23.52,8.02,6.81,6,0.0,23.14,0,0,0,0.0,31.75,0.35,1.54,0.547,0.046,0.228,0.319,0.029,0,0
6,2021-06-14,-2.83,-3.29,0.0,20.5,15.7,27.1,1.0,11:40,12:53,176.703,-2.83,-3.29,0.0,20.5,15.7,27.1,1.0,40.47,20.01,7.79,6.33,2,0.0,16.78,0,0,0,0.0,31.73,1.17,1.02,0.41,0.044,0.079,0.297,0.026,0,0
7,2021-06-11,-2.93,-2.96,3.0,20.5,16.7,25.3,1.2,09:53,12:49,346.1,-2.93,-2.96,3.0,20.5,16.7,25.3,1.2,40.26,20.02,7.8,6.69,1,0.0,20.15,0,0,0,0.0,31.54,0.23,1.56,0.442,0.04,0.087,0.273,0.022,0,0
8,2021-06-10,-3.06,-2.3,7.5,22.6,17.4,30.2,0.8,09:16,12:17,359.825,-3.06,-2.3,7.5,22.6,17.4,30.2,0.8,39.73,19.34,7.82,7.03,1,0.0,21.07,0,0,0,0.0,31.58,0.42,2.1,0.487,0.034,0.08,0.339,0.021,0,0
9,2021-06-09,-2.92,-1.4,0.0,23.2,17.0,31.6,0.6,08:38,11:42,548.312,-2.92,-1.4,0.0,23.2,17.0,31.6,0.6,39.31,18.91,7.86,7.2,1,0.0,19.65,0,0,0,0.0,31.53,0.5,0.68,0.465,0.034,0.094,0.358,0.019,0,0
10,2021-04-14,-3.69,-4.14,0.0,7.5,-0.3,13.8,1.1,10:25,13:38,955.23,-3.69,-4.14,0.0,7.5,-0.3,13.8,1.1,34.01,10.75,8.08,10.65,9,0.0,7.7,0,0,0,0.0,31.76,4.15,2.93,0.323,0.021,0.068,0.237,0.014,0,0
11,2021-04-13,-3.37,0.23,2.0,9.9,6.1,13.3,1.4,09:31,13:27,994.263,-3.37,0.23,2.0,9.9,6.1,13.3,1.4,33.87,10.91,8.08,10.4,11,0.0,12.14,0,0,0,0.0,31.65,2.02,2.43,0.321,0.019,0.075,0.197,0.012,0,0
12,2021-03-30,-4.0,-4.47,0.0,7.8,-0.8,18.2,0.8,09:41,13:03,811.141,-4.0,-4.47,0.0,7.8,-0.8,18.2,0.8,31.75,8.81,8.2,11.64,9,0.0,8.02,0,0,0,0.0,32.36,2.35,2.67,0.362,0.011,0.035,0.132,0.006,0,0
13,2021-03-29,-3.54,-3.58,0.0,9.2,3.2,16.0,1.1,09:02,12:14,690.421,-3.54,-3.58,0.0,9.2,3.2,16.0,1.1,31.58,8.57,8.21,11.02,8,0.0,8.94,0,0,0,0.0,32.39,1.75,2.43,0.352,0.01,0.037,0.113,0.005,0,0
14,2021-03-17,-2.75,-3.32,0.0,4.8,-2.9,15.9,0.8,11:00,14:54,1182.75,-2.75,-3.32,0.0,4.8,-2.9,15.9,0.8,29.98,6.56,8.24,14.51,10,0.0,5.72,0,0,0,0.0,32.41,16.48,4.1,0.431,0.014,0.041,0.129,0.008,0,0
15,2021-03-16,-2.93,-3.34,0.5,6.7,1.6,12.6,1.5,10:32,14:40,1226.21,-2.93,-3.34,0.5,6.7,1.6,12.6,1.5,30.25,7.03,8.25,14.83,8,1.08,8.99,0,0,0,0.0,32.29,17.31,3.65,0.46,0.015,0.045,0.139,0.008,0,0
16,2021-03-15,-3.41,-3.78,0.0,8.8,-0.7,16.7,0.7,10:04,13:14,937.502,-3.41,-3.78,0.0,8.8,-0.7,16.7,0.7,29.63,6.27,8.28,14.86,8,1.08,4.75,0,0,0,0.0,32.27,21.9,3.84,0.401,0.019,0.059,0.131,0.007,0,0
